id,version,side,win,ban1,ban2,ban3,ban4,ban5,champion1,champion2,champion3,champion4,champion5,tower_kills,inhibitor_kills ,dragon_kills,rift_herald_kills,baron_kills,first_tower,first_inhibitor,first_dragon,first_rift_herald,first_baron
3320842760,10.5.312.392,Side.red,True,Zac,Master Yi,Pyke,NONE,Yasuo,Amumu,Teemo,Cho'Gath,Miss Fortune,Yuumi,7,1,4,1,1,False,True,True,True,True
3320842758,10.5.312.392,Side.blue,True,Nautilus,Caitlyn,Leona,Sett,Diana,Karma,Varus,Kassadin,Lee Sin,Kha'Zix,0,0,0,0,0,False,False,False,False,False
3320842758,10.5.312.392,Side.red,False,Darius,Shaco,Yasuo,Alistar,Master Yi,Teemo,Aphelios,Ekko,Rek'Sai,Thresh,0,0,0,0,0,False,False,False,False,False
3320842755,10.5.312.392,Side.blue,True,Garen,Zed,Teemo,Aphelios,Blitzcrank,Cho'Gath,Vladimir,Vayne,Janna,Shyvana,8,1,3,1,1,True,True,True,True,False
3320842755,10.5.312.392,Side.red,False,Blitzcrank,Sett,Katarina,Leona,Senna,Veigar,Pyke,Gangplank,Dr. Mundo,Master Yi,6,1,2,0,1,False,False,False,False,True
3320842754,10.5.312.392,Side.blue,True,Sett,NONE,Nautilus,Leona,Aphelios,Cassiopeia,Kai'Sa,Darius,Zilean,Warwick,9,2,2,1,2,False,True,False,True,True
3320842754,10.5.312.392,Side.red,False,Fiora,Zac,Leona,Sylas,Yasuo,Kled,Mordekaiser,Ezreal,Lux,Thresh,2,0,2,0,0,True,False,True,False,False
3320842749,10.5.312.392,Side.blue,False,Shaco,Morgana,Yasuo,Master Yi,Pyke,Vayne,Elise,Urgot,Ahri,Zyra,1,0,0,0,0,False,False,False,False,False
3320842749,10.5.312.392,Side.red,True,Master Yi,Illaoi,Caitlyn,Aphelios,Yasuo,Vi,Darius,Draven,Thresh,Katarina,7,1,5,2,1,True,True,True,True,True
3320842741,10.5.312.392,Side.blue,True,Diana,Mordekaiser,Senna,Xin Zhao,Lulu,Nasus,Twisted Fate,Pyke,Kha'Zix,Yasuo,4,0,1,1,0,True,False,False,False,False
3320842741,10.5.312.392,Side.red,False,Olaf,Sett,Zyra,Blitzcrank,Master Yi,Fiora,Caitlyn,Rumble,Jarvan IV,Leona,1,0,2,1,0,False,False,True,True,False
3320842725,10.5.312.392,Side.blue,True,Sett,Olaf,Aphelios,Brand,Veigar,Nami,Kindred,Ezreal,Galio,Dr. Mundo,11,4,4,0,1,True,True,False,False,False
3320842725,10.5.312.392,Side.red,False,Fizz,Soraka,Darius,Yasuo,Master Yi,Corki,Garen,Syndra,Lee Sin,Pyke,5,0,2,0,1,False,False,True,False,True
3320842722,10.5.312.392,Side.blue,False,Warwick,Sylas,Draven,Mordekaiser,Zed,Kled,Olaf,Aphelios,Leona,Ekko,7,0,3,0,0,True,False,True,False,False
3320842722,10.5.312.392,Side.red,True,Draven,Master Yi,Caitlyn,Vladimir,Veigar,Nunu & Willump,Lulu,LeBlanc,Talon,Ashe,5,1,3,2,2,False,True,False,True,True
3320842714,10.5.312.392,Side.blue,True,Garen,Ekko,Blitzcrank,Zed,Diana,Jax,Sylas,Bard,Senna,Kayn,10,2,3,1,0,True,True,True,True,False
3320842714,10.5.312.392,Side.red,False,Illaoi,Shaco,Kassadin,Nautilus,Morgana,Katarina,Vayne,Pyke,Renekton,Sejuani,3,0,2,1,1,False,False,False,False,True
3320842711,10.5.312.392,Side.blue,False,Nocturne,Miss Fortune,Illaoi,Morgana,Yasuo,Leona,Nasus,Caitlyn,Shyvana,Zed,1,0,1,0,0,False,False,False,False,False
3320842711,10.5.312.392,Side.red,True,Sett,Teemo,Ornn,Master Yi,Mordekaiser,Lux,Zyra,Tryndamere,Hecarim,Ezreal,5,0,2,1,0,True,False,True,True,False
3320842701,10.5.312.392,Side.blue,True,Rammus,Jax,Yasuo,Sett,Warwick,Brand,Orianna,Master Yi,Xin Zhao,Urgot,10,2,3,1,0,True,True,False,True,False
3320842701,10.5.312.392,Side.red,False,Jarvan IV,Ahri,Senna,Aphelios,NONE,Aatrox,Ezreal,Shyvana,Morgana,Fizz,0,0,1,0,1,False,False,True,False,True
3320842699,10.5.312.392,Side.blue,False,Yasuo,Senna,Garen,Draven,Master Yi,Quinn,Zed,Sona,Miss Fortune,Amumu,0,0,0,0,0,False,False,False,False,False
3320842699,10.5.312.392,Side.red,True,Darius,Blitzcrank,Morgana,Aphelios,Fiora,Warwick,Yorick,Ekko,Tahm Kench,Ashe,6,1,3,2,1,True,True,True,True,True
3320842696,10.5.312.392,Side.blue,False,Diana,Nautilus,Senna,Akali,Master Yi,Syndra,Vi,Vayne,Darius,Lux,7,1,2,2,0,True,True,True,True,False
3320842696,10.5.312.392,Side.red,True,Blitzcrank,Zed,Nautilus,Teemo,Warwick,Thresh,Ashe,Nasus,Kassadin,Kayn,4,0,4,0,1,False,False,False,False,True
3320842694,10.5.312.392,Side.blue,False,Mordekaiser,Kayn,Yasuo,Blitzcrank,Nocturne,Shyvana,Varus,Sion,Yuumi,Ryze,0,0,0,0,0,False,False,False,False,False
3320842694,10.5.312.392,Side.red,True,Pyke,Aphelios,Darius,Sett,Ekko,Swain,LeBlanc,Caitlyn,Fiora,Olaf,7,1,3,2,0,True,True,True,True,False
3320842692,10.5.312.392,Side.blue,True,Talon,Sett,Ezreal,Brand,Illaoi,Caitlyn,Udyr,Ekko,Ornn,Lux,7,1,2,1,0,False,True,False,False,False
3320842692,10.5.312.392,Side.red,False,Kassadin,Yasuo,Miss Fortune,Fiora,Sett,Master Yi,Thresh,Jinx,Galio,Zac,4,0,2,1,0,True,False,True,True,False
3320842676,10.5.312.392,Side.blue,False,Soraka,Morgana,Ekko,Talon,Aphelios,Malphite,Akali,Nami,Sylas,Ezreal,0,0,0,0,0,False,False,False,False,False
3320842676,10.5.312.392,Side.red,True,Diana,Braum,Yuumi,Darius,Master Yi,Renekton,Fizz,Lux,Caitlyn,Sett,9,1,3,2,0,True,True,True,True,False
3320842667,10.5.312.392,Side.blue,True,Garen,Mordekaiser,Sett,Veigar,Nocturne,Sona,Urgot,Jinx,Ekko,Master Yi,11,3,4,2,1,True,True,True,True,True
3320842667,10.5.312.392,Side.red,False,Yasuo,Darius,Aphelios,Senna,Tryndamere,Jax,Tristana,Lux,Zed,Xin Zhao,2,0,0,0,0,False,False,False,False,False
3320842659,10.5.312.392,Side.blue,True,Garen,Yasuo,Sylas,Darius,Morgana,Ashe,Mordekaiser,Akali,Yuumi,Olaf,7,1,2,2,1,True,True,True,True,True
3320842659,10.5.312.392,Side.red,False,Blitzcrank,Master Yi,Darius,Zilean,Ahri,Fizz,Miss Fortune,Lux,Sett,Nocturne,4,0,2,0,0,False,False,False,False,False
3320842658,10.5.312.392,Side.blue,False,Ekko,Leona,Darius,Yuumi,Cassiopeia,Tahm Kench,Garen,Senna,Lissandra,Kha'Zix,1,0,0,0,0,False,False,False,False,False
3320842658,10.5.312.392,Side.red,True,Fizz,Miss Fortune,Jax,Katarina,Ekko,Karma,Jhin,Ahri,Camille,Lee Sin,11,3,3,1,1,True,True,True,True,True
3320842655,10.5.312.392,Side.blue,True,Draven,Ekko,Blitzcrank,Kassadin,Mordekaiser,Aatrox,Sylas,Zyra,Rammus,Caitlyn,10,2,4,0,0,True,True,True,False,False
3320842655,10.5.312.392,Side.red,False,Darius,Fizz,Illaoi,Senna,Sett,Janna,Garen,Taliyah,Diana,Kai'Sa,5,0,1,0,1,False,False,False,False,True
3320842648,10.5.312.392,Side.blue,True,Vayne,Miss Fortune,Master Yi,Pyke,Diana,Jhin,Lux,Leona,Vi,Renekton,9,2,3,2,0,True,True,True,True,False
3320842648,10.5.312.392,Side.red,False,Nautilus,Ahri,Aatrox,Morgana,Mordekaiser,Akali,Xin Zhao,Warwick,Yuumi,Sett,2,0,0,0,0,False,False,False,False,False
3320842645,10.5.312.392,Side.blue,False,Morgana,Fizz,Shaco,NONE,Vladimir,Amumu,Vayne,Pyke,Jax,Ahri,4,1,2,1,0,False,True,True,True,False
3320842645,10.5.312.392,Side.red,True,Vi,Shaco,Darius,Nocturne,Senna,Ezreal,Thresh,Garen,Cho'Gath,Kindred,11,2,2,0,1,True,False,False,False,True
3320842642,10.5.312.392,Side.blue,True,Olaf,Akali,Morgana,Master Yi,Yasuo,Taric,Caitlyn,Darius,Rek'Sai,Ekko,3,0,1,1,0,True,False,True,True,False
3320842642,10.5.312.392,Side.red,False,Cassiopeia,Pyke,Senna,Mordekaiser,Kassadin,Lissandra,Quinn,Kai'Sa,Sett,Diana,0,0,0,0,0,False,False,False,False,False
3320842628,10.5.312.392,Side.blue,True,Ekko,Aphelios,Tryndamere,Morgana,Darius,Malphite,Mordekaiser,Sylas,Caitlyn,Ahri,10,3,3,2,1,True,True,False,True,True
3320842628,10.5.312.392,Side.red,False,Sett,Master Yi,Riven,Aphelios,Talon,Vel'Koz,Jarvan IV,Garen,Senna,Vayne,3,0,2,0,1,False,False,True,False,False
3320842616,10.5.312.392,Side.blue,False,Mordekaiser,Kassadin,Master Yi,Tryndamere,Rengar,Sett,Vel'Koz,Evelynn,Kha'Zix,Blitzcrank,5,1,3,1,0,False,False,False,True,False
3320842616,10.5.312.392,Side.red,True,Lux,Senna,Teemo,Malzahar,Master Yi,Yasuo,Yuumi,Fiora,Syndra,Nunu & Willump,9,3,3,0,1,True,True,True,False,True
3320842608,10.5.312.392,Side.blue,True,Master Yi,Teemo,Ekko,Vi,Yasuo,Kayn,Morgana,Garen,Ashe,Neeko,6,1,2,0,0,False,True,False,False,False
3320842608,10.5.312.392,Side.red,False,Nautilus,Olaf,Fiora,Blitzcrank,Jhin,Sion,Galio,Kai'Sa,Diana,Warwick,2,0,1,1,1,True,False,True,True,True
3320842601,10.5.312.392,Side.blue,False,Aphelios,Morgana,Nautilus,Garen,Fizz,Pyke,Renekton,Lucian,Lux,Warwick,5,0,2,1,0,True,False,True,True,False
3320842601,10.5.312.392,Side.red,True,Mordekaiser,Soraka,Garen,Kayn,Cassiopeia,Heimerdinger,Vel'Koz,Sett,Vayne,Shaco,11,4,3,0,3,False,True,False,False,True
3320842599,10.5.312.392,Side.blue,True,Quinn,Fizz,Caitlyn,Brand,Warwick,Nautilus,Xin Zhao,Fiora,Syndra,Kai'Sa,9,2,2,1,0,True,True,True,True,False
3320842599,10.5.312.392,Side.red,False,Kayn,Blitzcrank,Annie,Nasus,Zed,Cho'Gath,Morgana,Leona,Senna,Lee Sin,0,0,0,0,0,False,False,False,False,False
3320842598,10.5.312.392,Side.blue,True,Tryndamere,Leona,Lee Sin,Nautilus,Viktor,Zac,Pyke,Katarina,Ezreal,Yorick,11,4,4,0,0,True,True,True,False,False
3320842598,10.5.312.392,Side.red,False,Blitzcrank,Nautilus,Master Yi,Xayah,Yasuo,Kha'Zix,Zoe,Senna,Swain,Renekton,5,0,0,1,1,False,False,False,True,True
3320842592,10.5.312.392,Side.blue,True,Zed,NONE,Miss Fortune,Trundle,Blitzcrank,Janna,Jarvan IV,Kassadin,Jhin,Rammus,8,2,2,0,1,False,False,False,False,True
3320842592,10.5.312.392,Side.red,False,Katarina,Ekko,Yasuo,Master Yi,Blitzcrank,Fiora,Senna,Ezreal,Sylas,Nunu & Willump,8,2,3,2,0,True,True,True,True,False
3320842579,10.5.312.392,Side.blue,True,Tryndamere,Blitzcrank,Sett,Master Yi,Yasuo,Garen,Nami,Ezreal,Sejuani,Katarina,7,1,2,0,1,False,True,False,False,True
3320842579,10.5.312.392,Side.red,False,Veigar,Darius,Talon,Jinx,Leona,Pyke,Rengar,Vladimir,Ornn,Miss Fortune,6,0,3,0,0,True,False,True,False,False
3320842576,10.5.312.392,Side.blue,True,Teemo,Brand,Sett,Yasuo,Master Yi,Corki,Caitlyn,Nocturne,Lux,Garen,7,2,2,1,0,True,True,False,True,False
3320842576,10.5.312.392,Side.red,False,Darius,Morgana,Elise,Senna,Ahri,Urgot,Warwick,Ziggs,Miss Fortune,Veigar,0,0,1,0,0,False,False,True,False,False
3320842575,10.5.312.392,Side.blue,True,Malzahar,Darius,Leona,Master Yi,Aphelios,Aatrox,Amumu,Tryndamere,Draven,Lux,9,1,4,0,2,False,False,False,False,True
3320842575,10.5.312.392,Side.red,False,Fizz,Jhin,Yuumi,Sett,Darius,Vi,Ziggs,Rakan,Garen,Tristana,5,1,3,1,1,True,True,True,True,False
3320842572,10.5.312.392,Side.blue,True,Sett,Fizz,Caitlyn,Ornn,Yorick,Jax,Ryze,Lucian,Braum,Tryndamere,10,2,3,0,1,True,True,True,False,True
3320842572,10.5.312.392,Side.red,False,Elise,Fiora,Aphelios,Yasuo,Blitzcrank,Leona,Urgot,Jhin,Master Yi,Malzahar,5,0,0,1,0,False,False,False,True,False
